제목,내용,게시자,게시날짜
식빵소녀 강퇴,4학년 여자아이 계속 기도하며 이끌려고 어루고 달래고 응원하고 그랬는데 욕들으면서 레슨이 안되더라구요.ㅠㅠ 등원하자마자 식빵날리고 각종 쌍욕들 날려서 갑분싸에 아이들 눈똥그래져서 놀래있고 욕할거면 그만다니라니깐 알겠다네요ㅠ 책싸들고 가라니깐 책은 담에...,피아노 교육의 모든 것 with 로디쌤,2일 전
"현빈, 주지훈하고 같은나이 아저씨들 ㅋㅋㅋ",방송중 갑분싸 ㅋㅋㅋㅋ,아프니까 사장이다 [소상공인·자영업자·창업],2일 전
"연애 고자 테스트, 내 연애는 왜 그럴지 알아보기!","이유는 모르지만, 갑분싸됐던 적 있음. • 최애 덕질하듯 먼 곳에서 상대를 천천히 자신만의 방식으로 관찰함. 그러다 확신이 들면 그간 관찰한 정보를 토대로 자연스럽게 플러팅함. 이때까지 가는 게 좀 오래 걸림. 위로 한 마디 감정 기복이 적은 건 네 장점임. 근데...",가을엔 음악이지,2일 전
안동반점,"갑분싸 티엠아이.... 난 아직도 사실 유산슬과 양장피, 팔보채를 잘 구분못함 겨자맛나는거 양장피, 빨간거 팔보채, 걸쭉하고 닝닝한거 유산슬... 머 이런식으로 나름 구분하려 애를 쓸뿐... 다 맛있또~ 양장피 겨자소스를 취향에 맞게 뿌려서 잘 섞어 먹으면 되고~ 전분으로...",열정아무개 블로그,2일 전
산본 돈까스 맛집 가족 외식하기 좋은 쉐프돈까스 내돈내산,(갑분싸 체중 공개) 손도 두꺼비 손이라 얼마나 큰지 그래도 돈가스에 위화감이 느껴지지 않죠? 작은 덩어리 하나가 어른 손바닥만 합니다. 빨리 먹고 싶다고 짹짹거리는 우리 아이들 입에 돈가스를 넣어주기 위해 아비새는 열심히 칼질을 하고 어미새는 사진을 찍습니다...,산사사 맛집로그,2일 전
갑분싸에서 여인을 구하려 나선 예수 문둥이 시몬의 집과 순전한 나드 한 옥합,예수께서 베다니 문둥이 시몬의 집에서 식사하실 때에 한 여자가 매우 값진 향유 곧 순전한 나드 한 옥합을 가지고 와서 그 옥합을 깨뜨리고 예수의 머리에 부으니 어떤 사람들이 분내어 서로 말하되 무슨 의사로 이 향유를 허비하였는가 이 향유를 삼백 데나리온 이상에 팔아...,Back to the Bible,2일 전
우당탕탕 서잼민의 일상,벙찌고 갑분싸됬다가 당황한거 눈에 보였는지 ”설마..니가 계산했나ˀ̣ˀ̣ “라길래 쿨한척 “가자~!” 했더니 “~” 이럼 ㅋ꙼̈ㅋ̆̎ㅋ̊̈ㅋ̌̈ㅋ꙼̈ 든든한 친구되기 실패.. 나 연기 너무 발연기인가 이 단어는 언제들어도 행복해지는거같다 그러니까 얘들ටㅏ...,ᴶᴵᴺ__ᴮᴸᴼᴳ,2일 전
이런 회사직원 슬기롭게 대처하는방법 있을까요?,도대체 뭐라고 대답을 해야하는지 모르겠고 항상 대화가 갑분싸가 되어버려요 정말 같이 일하는 직원이 계속 옆에서 이러니까 힘들더라구요 부정적인 기운이 옮는기분이에요 흉보고 이런건 그냥 무시한다하는데 업무적으로 본인이 잘 못하는데 자꾸 괴롭힌다 생각해서 혼자...,네일동 : 일본여행카페,2일 전
슬퍼하기엔 짧았던,내가 조아하는 예술 조합✨ 이렇게 있으면 너무 마음이 편안해져 뭔 얘기를 해도~ 갑분싸가 일어나도~ 눈치 보일게 없는 모임이양 ㅗㅠㅑ 무섭다잉..? 늑대가 잘생겼네 친하지도 않는데 갑작스럽게 끼게 돼서 죄송하고 받아줘서 감사드려유 새로 알게 된 사람들한테 많이...,❛ ⠀ ⠀ ❜,2일 전
엑디즈 런던공연을 티비로 보네 / 앵글 최고,하고 크게 마음의 준비 안했다가 무대도 크고 엑디즈 너무 잘해서 잠이 달아나버림ㅋㅋㅋ 저 노래 진짜 갑분싸되기 쉬운 노래인데 주연이가 첫소절부터 찢어버려서 잠이 홀딱 깼다ㅋㅋㅋㅋ 주연아 정수야 심하게 잘하는거 아니니...???? 잘한다고 말하기도 지친데 하지만 너무...,랭의 오늘도 우당탕탕,2일 전
