제목,내용,게시자,게시날짜
세상아 (ง˙∇˙)ง 덤벼! (ง˙∇˙)ง 덤비라규! (ง˙∇˙)ว 퍽! 아 (ง˙∇˙)ง 덤벼! (ง...,"스불재라고 말하지만 결국.. 재밌잖아..? 그렇게 됐다! 더 열심히 살아야지 뭐 대망의 학교 촬영(마지막이다!) 땅바닥 회의 제법 멋져요 역시 어렵다! 이렇게 늘겠지,, 진짜 공부 많이 해야겠다는 생각만 오조억번 낭만이란 배를 타고~ 촬영 끝나고 보는 노을 인생이란..(아련)...",관심받는건싫지만많은관심부탁드립니다,3일 전
작심백일 - 71,"초반에 스불재로 팬송을 하겠다고 했던것을 기억하시나요..?ㅋㅋㅋ 가사는 수정만하면 끝납니다~ 스포- "" 우리의 이야기, 끝이 없어 "" .. 죄송해요 올릴게 떨어졌어요 가사,코드 스포로 올려도 될까요..? (우쿨렐레는 자유게시판에도 올려다 싶이 손을 다쳐서.. 나으면 열심히...",디데이원 팬카페,3일 전
[231005] Day7. 그랜드캐년 1박2일 투어 | 자이언캐년 | 홀스슈밴드 | 파웰호수,이날 무슨 도로공사때문에 길이 너무 막혀서 (택시기사님도 개답답해하심) 대지각해버렸다 ㅠ ㅠㅠ ㅠㅠ 결국 가이드님께 된통 혼나고 애들이랑 떨어져서 홀로 조수석에 앉게되었다는 새드엔딩 스토리•• 이게바로 스불재? 그래도 덕분에 뷰는 좋았다 하하 우리는...,숲,3일 전
https://m.blog.naver.com/wlals827/223272890530,블로그 쓰기 싫어서... 미루고 미루다가... 일단 쓰긴 씁니다 그것도 레슨 1시간 남은 이 시점에 분량을 줄여보고 싶은데 그거 어떻게 하는 건지 모르겠어요 블로그 분량 줄이고 싶어서 칩거생활하는 여성... 되어볼까? 일단 당분간은 글렀으니 그냥 열심히 손을 굴려 봅니다. 뇌...,Some Bunny Loves You,3일 전
스불재 23.11.08 활동,"참여자: 김윤서, 정유민, 민선재 활동: 작업한 일러스트를 엘리갤러리에 전시 했습니다.",청강문화산업대학교 동아리 연합회 [ 동 담 ],3일 전
스불재 23.11.03 활동,"참여자 : 김윤서, 민선재, 정유민, 이현지, 박하늘, 강하민 활동: 외부전시 활동을 했습니다.",청강문화산업대학교 동아리 연합회 [ 동 담 ],3일 전
줄임말 테스트,일생가? 4. 법블레스유 5. 롬곡옾높 6. 별다줄 7. 좋못사 8. 글설리 9. 갑통알 10. 자낳괴 11. 스불재 12. 당모치 13. 중꺽마 14. 여보당신 15. 일취월장 와우~~ 몇개만 적었는데도... 전 그냥 아재 아지매 할게요 ㅠㅠ 이거 다 아시는 분 젊은이~~ 입니다. ^^;;;;;;;;;;;;;;;;;;;;;;;;;;;;,"BIY, 셀프 인테리어의 새 이름",3일 전
11월 마지막 포스팅,ㅎㅎ 이게 바로 스불재임 호텔 체크아웃하고 스벅가서 쑥떡이 먹어주고 마음샌드까지 픽업 ! 요즘은 마음샌드 쏘 이지하게 살 수 이뜸 쳌아웃하고 더본으로 무브무부 원래 오름이랑 성이시돌 갈라했는데 갑자기 날씨도 안좋아지고 어제 숙취로 정상 컨디션이 아니라 그냥...,Happiness is ours,3일 전
지옥의 시작 남한산성 둘레길 표지판 제대로 봐야하는 이유,아 안녕하세요 바로 오늘의 스불재인 지옥의 남한산성 둘레길 편 되겠습니다. 여러분들은 반드시 효율적인 등산 코스를 찾아가시길 바랍니다. 여느 사람들과 같이 블로그 리뷰도 찾아보고 네이버 지도도 켠 상태에서 1코스가 가장 무난한 트레킹 난이도라는 말을 믿었다....,지름길 법무법인 회생·파산 무료상담,3일 전
입구 꾸미기 어렵네요,"꾸미려고 섬 전체적으로 싹 밀었는데 언덕 만들기도 귀찮고 그러네요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 오늘도 스불재에 울고갑니다,,, 섬꾸하시는 모든 분들 파이팅이에요! WTAC :: 닌텐도 동물의 숲 카페 [닌텐도 스위치 동물의 숲 커뮤니티/모동숲 공략/포켓캠프]",WTAC :: 닌텐도 동물의 숲 대표카페 [스위치/NDS/포켓캠프],3일 전
wip...?,할수록 스불재 냄새 물씬 나서 언제 포기할지 모름 다른거 메인으로 만들면서 자투리시간에 작업할거라 포기않고 완성한다해도 엄청 오래걸릴듯 (하필 또 처음 고른게 이래즈미ㅠㅠㅠㅠ) 그러한 이유로 근황겸 블로그에만 살짜쿵 공개해봅니다 스샷으로 티가 잘 안나는것...,계란이이 왓어요오,3일 전
